config,nrh,workload,ramulator.normalized_ipc,ramulator.normalized_read_latency,ramulator.normalized_stall_cycles,ramulator.normalized_rbmpki,ramulator.preventive_refreshes_channel_0_core
Baseline0,0,511.povray,1.0,1.0,1.0,1.0,0.0
CoMeT1000-1,1000,511.povray,1.0,1.0,1.0,1.0,0.0
CoMeT1000-2,1000,511.povray,1.0,1.0,1.0,1.0,0.0
CoMeT1000-3,1000,511.povray,1.0,1.0,1.0,1.0,0.0
CoMeT1000-4,1000,511.povray,1.0,1.0,1.0,1.0,0.0
CoMeT1000-5,1000,511.povray,1.0,1.0,1.0,1.0,0.0
CoMeT500-1,500,511.povray,1.0,1.0,1.0,1.0,0.0
CoMeT500-2,500,511.povray,1.0,1.0,1.0,1.0,0.0
CoMeT500-3,500,511.povray,1.0,1.0,1.0,1.0,0.0
CoMeT500-4,500,511.povray,1.0,1.0,1.0,1.0,0.0
CoMeT500-5,500,511.povray,1.0,1.0,1.0,1.0,0.0
CoMeT250-1,250,511.povray,1.0,1.0,1.0,1.0,0.0
CoMeT250-2,250,511.povray,1.0,1.0,1.0,1.0,0.0
CoMeT250-3,250,511.povray,1.0,1.0,1.0,1.0,0.0
CoMeT250-4,250,511.povray,1.0,1.0,1.0,1.0,0.0
CoMeT250-5,250,511.povray,1.0,1.0,1.0,1.0,0.0
CoMeT125-1,125,511.povray,1.0,1.0,1.0,1.0,0.0
CoMeT125-2,125,511.povray,1.0,1.0,1.0,1.0,0.0
CoMeT125-3,125,511.povray,1.0,1.0,1.0,1.0,0.0
CoMeT125-4,125,511.povray,1.0,1.0,1.0,1.0,0.0
CoMeT125-5,125,511.povray,1.0,1.0,1.0,1.0,0.0
Baseline0,0,ycsb_eserver,1.0,1.0,1.0,1.0,0.0
CoMeT1000-1,1000,ycsb_eserver,1.0,1.0,1.0,1.0,0.0
CoMeT1000-2,1000,ycsb_eserver,1.0,1.0,1.0,1.0,0.0
CoMeT1000-3,1000,ycsb_eserver,1.0,1.0,1.0,1.0,0.0
CoMeT1000-4,1000,ycsb_eserver,1.0,1.0,1.0,1.0,0.0
CoMeT1000-5,1000,ycsb_eserver,1.0,1.0,1.0,1.0,0.0
CoMeT500-1,500,ycsb_eserver,1.0,1.0,1.0,1.0,0.0
CoMeT500-2,500,ycsb_eserver,1.0,1.0,1.0,1.0,0.0
CoMeT500-3,500,ycsb_eserver,1.0,1.0,1.0,1.0,0.0
CoMeT500-4,500,ycsb_eserver,1.0,1.0,1.0,1.0,0.0
CoMeT500-5,500,ycsb_eserver,1.0,1.0,1.0,1.0,0.0
CoMeT250-1,250,ycsb_eserver,1.0,1.0,1.0,1.0,0.0
CoMeT250-2,250,ycsb_eserver,1.0,1.0,1.0,1.0,0.0
CoMeT250-3,250,ycsb_eserver,0.9987576297510882,1.003402881841367,1.0025025616069838,1.0000203042740496,690.0
CoMeT250-4,250,ycsb_eserver,0.9944335385014479,1.011670028058402,1.0112595022456692,1.0005395135676058,3246.0
CoMeT250-5,250,ycsb_eserver,0.9953211298383643,1.0096243925462303,1.0094555807745367,1.0003103653319023,2578.0
CoMeT125-1,125,ycsb_eserver,0.9987576297510882,1.003402881841367,1.0025025616069838,1.0000203042740496,690.0
CoMeT125-2,125,ycsb_eserver,0.9903505122742313,1.019804727756976,1.0195990351764888,1.0003277689953736,5550.0
CoMeT125-3,125,ycsb_eserver,0.9856249927732249,1.0297956541975728,1.0293365902054767,1.0004060854809937,8482.0
CoMeT125-4,125,ycsb_eserver,0.9748842909483976,1.0556633192568,1.0518204882605562,1.000060912822149,14968.0
CoMeT125-5,125,ycsb_eserver,0.9740172985916389,1.057183832618733,1.0536587342427537,1.0004698989137213,15546.0
Baseline0,0,462.libquantum,1.0,1.0,1.0,1.0,0.0
CoMeT1000-1,1000,462.libquantum,1.0,1.0,1.0,1.0,0.0
CoMeT1000-2,1000,462.libquantum,0.9996139817964858,1.000455984159013,1.0005223376082204,0.9998282980433781,1048.0
CoMeT1000-3,1000,462.libquantum,0.9975931819817153,1.002770678233275,1.003262562210384,0.9998701085847633,4986.0
CoMeT1000-4,1000,462.libquantum,0.9951105448435619,1.0054368656928976,1.00664511286332,0.9992540999416881,10510.0
CoMeT1000-5,1000,462.libquantum,0.9963100242922057,1.0036025752152866,1.0050088826633279,0.9994837791823643,7254.0
CoMeT500-1,500,462.libquantum,0.9973416881941293,1.0029803435248346,1.003604416998906,0.9999236260777365,5370.0
CoMeT500-2,500,462.libquantum,0.9943460607265557,1.0067544897089653,1.0076900538968665,0.9992295710907423,11816.0
CoMeT500-3,500,462.libquantum,0.9912622744300577,1.0105393071873439,1.011920169387054,0.9995439863619587,19956.0
CoMeT500-4,500,462.libquantum,0.9892433397222251,1.0147298780415142,1.0147055269357195,0.9986174647648631,27652.0
CoMeT500-5,500,462.libquantum,0.9885632560573842,1.0149942184539449,1.0156459388899763,0.9984491076515521,29878.0
CoMeT250-1,250,462.libquantum,0.9907725676993608,1.0110149978325307,1.0125943025531,0.9996103257542901,20870.0
CoMeT250-2,250,462.libquantum,0.9863085849613223,1.0180069421530873,1.01877320718866,0.9986771144705726,32932.0
CoMeT250-3,250,462.libquantum,0.9805272667485643,1.02510044691478,1.0268570761230589,0.9985561426374981,46936.0
CoMeT250-4,250,462.libquantum,0.9778674931155463,1.0297526183986203,1.030609546254747,0.9975264883716521,58860.0
CoMeT250-5,250,462.libquantum,0.9736178376646386,1.0359715165818726,1.0366454692680975,0.9973363897768209,70818.0
CoMeT125-1,125,462.libquantum,0.9797528972786602,1.0258717592720117,1.0279471920742294,0.9984836710324304,47863.0
CoMeT125-2,125,462.libquantum,0.9702775815445382,1.0396834908777772,1.0414267915032402,0.9975131089984091,74418.0
CoMeT125-3,125,462.libquantum,0.962174623977916,1.0512595497094772,1.0531650370620746,0.9963680576383398,97592.0
CoMeT125-4,125,462.libquantum,0.9546413031462392,1.0630911823754956,1.0642568853713048,0.9948416941408378,125636.0
CoMeT125-5,125,462.libquantum,0.9467162619901099,1.0757503165247506,1.0761161686507408,0.9940010235220532,150714.0
Baseline0,0,447.dealII,1.0,1.0,1.0,1.0,0.0
CoMeT1000-1,1000,447.dealII,1.0,1.0,1.0,1.0,0.0
CoMeT1000-2,1000,447.dealII,1.0,1.0,1.0,1.0,0.0
CoMeT1000-3,1000,447.dealII,1.0,1.0,1.0,1.0,0.0
CoMeT1000-4,1000,447.dealII,1.0,1.0,1.0,1.0,0.0
CoMeT1000-5,1000,447.dealII,1.0,1.0,1.0,1.0,0.0
CoMeT500-1,500,447.dealII,1.0,1.0,1.0,1.0,0.0
CoMeT500-2,500,447.dealII,1.0,1.0,1.0,1.0,0.0
CoMeT500-3,500,447.dealII,1.0,1.0,1.0,1.0,0.0
CoMeT500-4,500,447.dealII,1.0,1.0,1.0,1.0,0.0
CoMeT500-5,500,447.dealII,1.0,1.0,1.0,1.0,0.0
CoMeT250-1,250,447.dealII,1.0,1.0,1.0,1.0,0.0
CoMeT250-2,250,447.dealII,1.0,1.0,1.0,1.0,0.0
CoMeT250-3,250,447.dealII,1.0,1.0,1.0,1.0,0.0
CoMeT250-4,250,447.dealII,1.0,1.0,1.0,1.0,0.0
CoMeT250-5,250,447.dealII,1.0,1.0,1.0,1.0,0.0
CoMeT125-1,125,447.dealII,1.0,1.0,1.0,1.0,0.0
CoMeT125-2,125,447.dealII,1.0,1.0,1.0,1.0,0.0
CoMeT125-3,125,447.dealII,1.0,1.0,1.0,1.0,0.0
CoMeT125-4,125,447.dealII,1.0,1.0,1.0,1.0,0.0
CoMeT125-5,125,447.dealII,1.0,1.0,1.0,1.0,0.0
Baseline0,0,481.wrf,1.0,1.0,1.0,1.0,0.0
CoMeT1000-1,1000,481.wrf,1.0,1.0,1.0,1.0,0.0
CoMeT1000-2,1000,481.wrf,1.0,1.0,1.0,1.0,0.0
