config,workload,total_energy,nrh,baseline_energy,normalized_energy
Baseline,450.soplex,14406696.410999998,0,14406696.410999998,1.0
CoMeT,450.soplex,14871825.437625,125,14406696.410999998,1.0322856131173737
CoMeT,450.soplex,14629436.399062501,250,14406696.410999998,1.0154608649830668
CoMeT,450.soplex,14509512.916875001,500,14406696.410999998,1.0071367163534104
CoMeT,450.soplex,14454528.102000002,1000,14406696.410999998,1.0033201012664834
Graphene,450.soplex,14433091.400437498,1000,14406696.410999998,1.0018321333832887
Graphene,450.soplex,14478470.800499998,500,14406696.410999998,1.0049820158246132
Graphene,450.soplex,14567664.62475,250,14406696.410999998,1.0111731523423437
Graphene,450.soplex,14749055.5910625,125,14406696.410999998,1.0237638921717749
Hydra,450.soplex,14505641.7110625,1000,14406696.410999998,1.006868007573683
Hydra,450.soplex,14576546.069250003,500,14406696.410999998,1.0117896326405766
Hydra,450.soplex,14710879.698937502,250,14406696.410999998,1.0211140208177947
Hydra,450.soplex,15078091.8680625,125,14406696.410999998,1.0466030127871555
REGA,450.soplex,14981047.941,1000,14406696.410999998,1.039866983631408
REGA,450.soplex,16407273.518624999,500,14406696.410999998,1.1388643899025659
REGA,450.soplex,20893725.803249996,250,14406696.410999998,1.4502787597645863
REGA,450.soplex,34878833.01562499,125,14406696.410999998,2.4210153404075223
PARA,450.soplex,14976681.742874999,1000,14406696.410999998,1.0395639163632127
PARA,450.soplex,15601187.565937502,500,14406696.410999998,1.0829122181005681
PARA,450.soplex,17066684.7894375,250,14406696.410999998,1.184635554366684
PARA,450.soplex,21624589.6528125,125,14406696.410999998,1.5010096024721806
Baseline,436.cactusADM,8252168.935875,0,8252168.935875,1.0
CoMeT,436.cactusADM,8396120.16225,125,8252168.935875,1.0174440474369342
CoMeT,436.cactusADM,8315034.953624998,250,8252168.935875,1.0076181205497015
CoMeT,436.cactusADM,8264603.360812498,500,8252168.935875,1.0015068068812116
CoMeT,436.cactusADM,8252168.935875,1000,8252168.935875,1.0
Graphene,436.cactusADM,8252772.93525,1000,8252168.935875,1.00007319280297
Graphene,436.cactusADM,8256779.7283125,500,8252168.935875,1.000558737039114
Graphene,436.cactusADM,8305541.489062499,250,8252168.935875,1.0064677000195028
Graphene,436.cactusADM,8364977.596312499,125,8252168.935875,1.0136701831135668
Hydra,436.cactusADM,8270083.444875,1000,8252168.935875,1.0021708849078597
Hydra,436.cactusADM,8342593.335375001,500,8252168.935875,1.0109576524914432
Hydra,436.cactusADM,8447757.297,250,8252168.935875,1.0237014489941803
Hydra,436.cactusADM,8498395.188375,125,8252168.935875,1.029837761976681
REGA,436.cactusADM,8447963.065875001,1000,8252168.935875,1.0237263841205209
REGA,436.cactusADM,8898741.105,500,8252168.935875,1.0783517853487135
REGA,436.cactusADM,10327083.408750001,250,8252168.935875,1.2514386810302245
REGA,436.cactusADM,15075243.959624998,125,8252168.935875,1.8268220242181128
PARA,436.cactusADM,8448111.734437501,1000,8252168.935875,1.023744399815989
PARA,436.cactusADM,8663553.1681875,500,8252168.935875,1.049851649367486
