config,workload,ramulator.normalized_ipc,nrh
Baseline0,tpcc64,1.0,0
CoMeT125,tpcc64,0.9871688618583436,125
CoMeT250,tpcc64,0.9983814647627176,250
CoMeT500,tpcc64,1.0,500
CoMeT1000,tpcc64,1.0,1000
Graphene1000,tpcc64,1.0,1000
Graphene500,tpcc64,1.0,500
Graphene250,tpcc64,0.9999713577442424,250
Graphene125,tpcc64,0.990926456665446,125
Hydra1000,tpcc64,1.0,1000
Hydra500,tpcc64,0.9983814647627176,500
Hydra250,tpcc64,0.9841458488074343,250
Hydra125,tpcc64,0.950187201133106,125
REGA1000,tpcc64,1.0,1000
REGA500,tpcc64,0.9935282916387064,500
REGA250,tpcc64,0.9645474538592352,250
REGA125,tpcc64,0.8813284715033831,125
PARA1000,tpcc64,0.9699348006930989,1000
PARA500,tpcc64,0.9396888973901164,500
PARA250,tpcc64,0.8745317389419788,250
PARA125,tpcc64,0.7206285649871292,125
Baseline0,grep_map0,1.0,0
CoMeT125,grep_map0,0.993947748945243,125
CoMeT250,grep_map0,0.9973219672327738,250
CoMeT500,grep_map0,1.0,500
CoMeT1000,grep_map0,1.0,1000
Graphene1000,grep_map0,1.0,1000
Graphene500,grep_map0,1.0,500
Graphene250,grep_map0,0.998329450985934,250
Graphene125,grep_map0,0.9955487401747286,125
Hydra1000,grep_map0,1.0,1000
Hydra500,grep_map0,0.998931102869138,500
Hydra250,grep_map0,0.9906066845426135,250
Hydra125,grep_map0,0.9865990946706528,125
REGA1000,grep_map0,1.0,1000
REGA500,grep_map0,0.9968793447604554,500
REGA250,grep_map0,0.9845492185090491,250
REGA125,grep_map0,0.9549946706426643,125
PARA1000,grep_map0,0.9895790957976229,1000
PARA500,grep_map0,0.9791629055056319,500
PARA250,grep_map0,0.9565019222172391,250
PARA125,grep_map0,0.890785065591681,125
Baseline0,tpch6,1.0,0
CoMeT125,tpch6,0.9930260247862227,125
CoMeT250,tpch6,0.9977768949574165,250
CoMeT500,tpch6,0.9998552117865183,500
CoMeT1000,tpch6,1.0,1000
Graphene1000,tpch6,1.0,1000
Graphene500,tpch6,1.0,500
Graphene250,tpch6,0.9988149722417565,250
Graphene125,tpch6,0.995969002450137,125
Hydra1000,tpch6,1.0,1000
Hydra500,tpch6,0.9998552117865183,500
Hydra250,tpch6,0.989549315716597,250
Hydra125,tpch6,0.9827894934104221,125
REGA1000,tpch6,1.0,1000
REGA500,tpch6,0.997411005305308,500
REGA250,tpch6,0.9832156495130289,250
REGA125,tpch6,0.9441941775061488,125
PARA1000,tpch6,0.9854862000827851,1000
PARA500,tpch6,0.9728994539241266,500
PARA250,tpch6,0.940128918500943,250
PARA125,tpch6,0.8547522798250808,125
Baseline0,ycsb_bserver,1.0,0
CoMeT125,ycsb_bserver,1.0,125
CoMeT250,ycsb_bserver,1.0,250
CoMeT500,ycsb_bserver,1.0,500
CoMeT1000,ycsb_bserver,1.0,1000
Graphene1000,ycsb_bserver,1.0,1000
Graphene500,ycsb_bserver,1.0,500
