config,workload,ramulator.normalized_ipc,nrh
Baseline0,h264_encode,1.0,0
CoMeT125,h264_encode,1.0,125
CoMeT250,h264_encode,1.0,250
CoMeT500,h264_encode,1.0,500
CoMeT1000,h264_encode,1.0,1000
Baseline0,jp2_encode,1.0,0
CoMeT125,jp2_encode,0.971894772243419,125
CoMeT250,jp2_encode,0.9865599816906044,250
CoMeT500,jp2_encode,0.9947859091729173,500
CoMeT1000,jp2_encode,0.9977712220211415,1000
Baseline0,445.gobmk,1.0,0
CoMeT125,445.gobmk,1.0,125
CoMeT250,445.gobmk,1.0,250
CoMeT500,445.gobmk,1.0,500
CoMeT1000,445.gobmk,1.0,1000
Baseline0,tpcc64,1.0,0
CoMeT125,tpcc64,0.9871688618583436,125
CoMeT250,tpcc64,0.9983814647627176,250
CoMeT500,tpcc64,1.0,500
CoMeT1000,tpcc64,1.0,1000
Baseline0,wc_8443,1.0,0
CoMeT125,wc_8443,0.9630856016872655,125
CoMeT250,wc_8443,0.9829600912361193,250
CoMeT500,wc_8443,0.9943728473978853,500
CoMeT1000,wc_8443,1.0,1000
Baseline0,483.xalancbmk,1.0,0
CoMeT125,483.xalancbmk,0.9998699279805716,125
CoMeT250,483.xalancbmk,1.0,250
CoMeT500,483.xalancbmk,1.0,500
CoMeT1000,483.xalancbmk,1.0,1000
Baseline0,437.leslie3d,1.0,0
CoMeT125,437.leslie3d,0.8761298252944861,125
CoMeT250,437.leslie3d,0.939668339943096,250
CoMeT500,437.leslie3d,0.98127912852618,500
CoMeT1000,437.leslie3d,0.9958661247987853,1000
Baseline0,grep_map0,1.0,0
CoMeT125,grep_map0,0.993947748945243,125
CoMeT250,grep_map0,0.9973219672327738,250
CoMeT500,grep_map0,1.0,500
CoMeT1000,grep_map0,1.0,1000
Baseline0,444.namd,1.0,0
CoMeT125,444.namd,1.0,125
CoMeT250,444.namd,1.0,250
CoMeT500,444.namd,1.0,500
CoMeT1000,444.namd,1.0,1000
Baseline0,508.namd,1.0,0
CoMeT125,508.namd,1.0,125
CoMeT250,508.namd,1.0,250
CoMeT500,508.namd,1.0,500
CoMeT1000,508.namd,1.0,1000
Baseline0,447.dealII,1.0,0
CoMeT125,447.dealII,1.0,125
CoMeT250,447.dealII,1.0,250
CoMeT500,447.dealII,1.0,500
CoMeT1000,447.dealII,1.0,1000
Baseline0,464.h264ref,1.0,0
CoMeT125,464.h264ref,1.0,125
CoMeT250,464.h264ref,1.0,250
CoMeT500,464.h264ref,1.0,500
CoMeT1000,464.h264ref,1.0,1000
Baseline0,557.xz,1.0,0
CoMeT125,557.xz,0.9929235687334991,125
CoMeT250,557.xz,0.9996042198134232,250
CoMeT500,557.xz,1.0,500
CoMeT1000,557.xz,1.0,1000
Baseline0,456.hmmer,1.0,0
CoMeT125,456.hmmer,1.0,125
CoMeT250,456.hmmer,1.0,250
CoMeT500,456.hmmer,1.0,500
CoMeT1000,456.hmmer,1.0,1000
Baseline0,458.sjeng,1.0,0
CoMeT125,458.sjeng,1.0,125
CoMeT250,458.sjeng,1.0,250
CoMeT500,458.sjeng,1.0,500
CoMeT1000,458.sjeng,1.0,1000
Baseline0,471.omnetpp,1.0,0
CoMeT125,471.omnetpp,1.0,125
CoMeT250,471.omnetpp,1.0,250
CoMeT500,471.omnetpp,1.0,500
CoMeT1000,471.omnetpp,1.0,1000
Baseline0,549.fotonik3d,1.0,0
CoMeT125,549.fotonik3d,0.930674293619361,125
CoMeT250,549.fotonik3d,0.9602398871554547,250
CoMeT500,549.fotonik3d,0.9985014298016766,500
CoMeT1000,549.fotonik3d,1.0,1000
Baseline0,505.mcf,1.0,0
CoMeT125,505.mcf,0.9914183997269177,125
CoMeT250,505.mcf,0.9965668718827166,250
CoMeT500,505.mcf,0.9990965301403207,500
CoMeT1000,505.mcf,1.0,1000
Baseline0,462.libquantum,1.0,0
CoMeT125,462.libquantum,0.962174623977916,125
CoMeT250,462.libquantum,0.9805272667485643,250
CoMeT500,462.libquantum,0.9912622744300577,500
CoMeT1000,462.libquantum,0.9975931819817153,1000
Baseline0,tpch17,1.0,0
CoMeT125,tpch17,0.9476419601567007,125
CoMeT250,tpch17,0.981611688940665,250
CoMeT500,tpch17,0.9942331321791101,500
CoMeT1000,tpch17,0.9995724642005571,1000
Baseline0,tpch2,1.0,0
CoMeT125,tpch2,0.878112257575644,125
